uuid,pdf_title,pdf_storage_path,txt_storage_path
462acf53-9f8f-48d6-8174-9a19e0f1b795,“黄金水道”带来发展新机遇,result\np_navi\pdf\462acf53-9f8f-48d6-8174-9a19e0f1b795.pdf,result\np_navi\txt\462acf53-9f8f-48d6-8174-9a19e0f1b795.txt
5c6e2f0f-5e84-470b-9413-43c5dc925c13,让非物质文化遗产绽放出更加迷人的光彩,result\np_navi\pdf\5c6e2f0f-5e84-470b-9413-43c5dc925c13.pdf,result\np_navi\txt\5c6e2f0f-5e84-470b-9413-43c5dc925c13.txt
c364724f-37e2-4068-9c40-973e8561bd74,中央宣传部有关部门负责人就文娱领域综合治理工作答记者问,result\np_navi\pdf\c364724f-37e2-4068-9c40-973e8561bd74.pdf,result\np_navi\txt\c364724f-37e2-4068-9c40-973e8561bd74.txt
3354fde0-6d06-41a4-b23c-f4935fab29dc,忠实履行党和人民赋予的神圣使命,result\np_navi\pdf\3354fde0-6d06-41a4-b23c-f4935fab29dc.pdf,result\np_navi\txt\3354fde0-6d06-41a4-b23c-f4935fab29dc.txt
6e446ab5-a9cf-4782-84f5-88ee83e2ba68,奋战在抗洪一线的年轻人,result\np_navi\pdf\6e446ab5-a9cf-4782-84f5-88ee83e2ba68.pdf,result\np_navi\txt\6e446ab5-a9cf-4782-84f5-88ee83e2ba68.txt
2b33b5ff-3d76-4116-b831-1f37f87a4146,互联网科技赋能智慧零售,result\np_navi\pdf\2b33b5ff-3d76-4116-b831-1f37f87a4146.pdf,result\np_navi\txt\2b33b5ff-3d76-4116-b831-1f37f87a4146.txt
86374766-5be8-4187-bfff-a2ffde16d0ad,嘉兴努力走出高质量发展之路,result\np_navi\pdf\86374766-5be8-4187-bfff-a2ffde16d0ad.pdf,result\np_navi\txt\86374766-5be8-4187-bfff-a2ffde16d0ad.txt
4b699faa-d50d-457a-baba-f62627d28410,把口袋公园这件好事办好实事办实,result\np_navi\pdf\4b699faa-d50d-457a-baba-f62627d28410.pdf,result\np_navi\txt\4b699faa-d50d-457a-baba-f62627d28410.txt
166cfc5c-ae8a-489e-909b-bc5c3f623fb4,韩国民众持续抗议驻韩美军生化实验,result\np_navi\pdf\166cfc5c-ae8a-489e-909b-bc5c3f623fb4.pdf,result\np_navi\txt\166cfc5c-ae8a-489e-909b-bc5c3f623fb4.txt
1d069ad2-01c0-40be-9ffe-97d9aad3004a,与群众越密切，就越能找到好办法,result\np_navi\pdf\1d069ad2-01c0-40be-9ffe-97d9aad3004a.pdf,result\np_navi\txt\1d069ad2-01c0-40be-9ffe-97d9aad3004a.txt
17ddb7c9-4e17-4672-87f9-8017dd8d0668,中国共产党领导中国取得巨大成就,result\np_navi\pdf\17ddb7c9-4e17-4672-87f9-8017dd8d0668.pdf,result\np_navi\txt\17ddb7c9-4e17-4672-87f9-8017dd8d0668.txt
70cad951-9e36-45da-a2ef-efd82cbb9ce6,苦干实干，同乡亲一起,result\np_navi\pdf\70cad951-9e36-45da-a2ef-efd82cbb9ce6.pdf,result\np_navi\txt\70cad951-9e36-45da-a2ef-efd82cbb9ce6.txt
d4dd2a0b-3c03-460c-b7a9-59887537d378,坚决防止未成年人沉迷网络游戏,result\np_navi\pdf\d4dd2a0b-3c03-460c-b7a9-59887537d378.pdf,result\np_navi\txt\d4dd2a0b-3c03-460c-b7a9-59887537d378.txt
53373f9d-b9e2-4bcc-9a21-57879fe43f61,坚持科学精神  反对政治操弄,result\np_navi\pdf\53373f9d-b9e2-4bcc-9a21-57879fe43f61.pdf,result\np_navi\txt\53373f9d-b9e2-4bcc-9a21-57879fe43f61.txt
12b2a726-7fdf-40da-98fe-c0f4f1295d9d,做好电力保障  促进民生改善,result\np_navi\pdf\12b2a726-7fdf-40da-98fe-c0f4f1295d9d.pdf,result\np_navi\txt\12b2a726-7fdf-40da-98fe-c0f4f1295d9d.txt
cba0eb8d-e961-454a-8c99-23f4c51a6c9e,甩锅推责难掩自身抗疫不力事实,result\np_navi\pdf\cba0eb8d-e961-454a-8c99-23f4c51a6c9e.pdf,result\np_navi\txt\cba0eb8d-e961-454a-8c99-23f4c51a6c9e.txt
8fc38dd4-e64d-47b1-badb-d00cb0da3faa,“中国在稳定全球贸易方面发挥了关键作用”,result\np_navi\pdf\8fc38dd4-e64d-47b1-badb-d00cb0da3faa.pdf,result\np_navi\txt\8fc38dd4-e64d-47b1-badb-d00cb0da3faa.txt
